-203	-92	-522
-199	-94	-517
-196	-97	-517
-196	-92	-513
-190	-94	-518
-194	-100	-514
-198	-92	-521
-200	-98	-517
-194	-94	-516
-200	-96	-515
-203	-96	-518
-197	-89	-518
-200	-96	-514
-195	-94	-514
-196	-91	-519
-193	-95	-512
-197	-92	-518
-196	-94	-518
-193	-95	-519
-197	-91	-519
-198	-95	-522
-201	-97	-517
-197	-92	-517
-200	-91	-522
-203	-92	-519
-197	-92	-517
-202	-90	-515
-200	-98	-520
-202	-93	-514
-197	-94	-521
-201	-96	-521
-195	-89	-522
-204	-93	-519
-199	-97	-518
-201	-99	-511
-198	-94	-522
-197	-91	-515
-202	-95	-517
-205	-89	-518
-199	-90	-514
-199	-91	-519
-196	-87	-514
-195	-80	-511
-209	-87	-521
-183	-144	-535
-150	-92	-496
-127	-55	-457
-96	-34	-407
-53	-19	-376
10	-40	-356
45	-54	-339
78	-82	-344
91	-92	-334
103	-118	-350
127	-136	-341
136	-162	-336
141	-177	-349
124	-197	-382
55	-201	-444
24	-201	-468
-6	-182	-472
-32	-169	-478
-38	-177	-480
-36	-178	-482
-60	-201	-494
-66	-211	-500
-59	-223	-505
-59	-215	-499
-63	-215	-499
-56	-204	-494
-52	-192	-493
-54	-183	-490
-75	-164	-494
-96	-162	-491
-152	-165	-486
-175	-166	-490
-191	-167	-478
-205	-170	-486
-234	-194	-485
-245	-201	-472
-262	-208	-473
-274	-228	-463
-291	-267	-463
-274	-280	-475
-259	-298	-477
-249	-305	-477
-235	-323	-481
-229	-317	-487
-227	-308	-484
-226	-302	-491
-229	-273	-492
-239	-237	-486
-222	-183	-479
-218	-137	-464
-189	-92	-449
-158	-79	-443
-103	-72	-443
-44	-96	-453
-23	-124	-462
2	-150	-461
53	-191	-448
85	-216	-436
79	-242	-440
69	-258	-453
55	-268	-460
22	-257	-473
3	-260	-482
-4	-266	-492
3	-280	-482
0	-277	-488
-9	-286	-492
-13	-311	-486
-9	-337	-482
-11	-343	-481
-26	-367	-479
-27	-388	-467
-31	-410	-463
-34	-411	-466
-23	-400	-465
-23	-380	-476
-20	-374	-479
-18	-362	-480
-30	-367	-485
-54	-377	-492
-96	-385	-493
-142	-379	-491
-189	-363	-493
-227	-331	-487
